### File1
### Start time : 2024/04/10 13:59:16
### ACC FSR:8G
### GYRO FSR:1000
### MAG DATA:Raw_MAG
### Interrupt Threshold:0102
### Data Rate:50Hz
### Data Type:9X DATA
### Feature:6X_LP_QUAT
### Gyro Cal:NO
### Gyro Data:CAL
### Acc Data:RAW
accX, accY, accZ, gyroX, gyroY, gyroZ, magX, magY, magZ
0.009, 0.01, 1.005, -4.73, -6.989, -5.951, 0.0, 0.0, 0.0
0.075, -0.064, 0.99, -9.369, -3.723, -7.996, 0.0, 0.0, 0.0
0.078, -0.062, 0.933, -8.606, -1.74, 8.606, 0.0, 0.0, 0.0
0.082, -0.058, 1.002, -9.674, -3.754, 8.789, 0.0, 0.0, 0.0
0.036, -0.083, 1.022, -9.43, 8.27, -8.331, 0.0, 0.0, 0.0
0.05, -0.09, 1.003, -8.789, 9.491, -5.432, 0.0, 0.0, 0.0
0.06, -0.051, 0.937, -8.728, 10.468, 2.289, 0.0, 0.0, 0.0
0.049, -0.039, 0.972, 0.275, -0.366, -18.585, 0.0, 0.0, 0.0
0.044, -0.083, 1.026, -7.935, 3.754, -33.325, 0.0, 0.0, 0.0
0.069, -0.046, 0.929, -8.24, 0.183, -13.245, 0.0, 0.0, 0.0
0.148, -0.14, 1.001, -8.911, -3.387, -6.958, 0.0, 0.0, 0.0
0.041, -0.088, 1.068, -9.674, 16.479, -27.344, 0.0, 0.0, 0.0
0.135, -0.036, 1.0, -4.272, -1.465, -34.271, 0.0, 0.0, 0.0
0.191, -0.042, 0.915, -4.822, 15.778, -51.117, 0.0, 0.0, 0.0
0.104, -0.051, 0.935, -11.322, 5.585, -82.55, 0.0, 0.0, 0.0
0.111, -0.133, 1.03, -10.986, -2.472, -107.727, 0.0, 0.0, 0.0
0.193, -0.128, 1.01, -9.613, -1.19, -135.59, 0.0, 0.0, 0.0
0.127, -0.041, 1.014, -11.078, 10.803, -138.733, 0.0, 0.0, 0.0
0.048, -0.156, 1.147, 0.977, 16.205, -124.817, 0.0, 0.0, 0.0
0.106, -0.112, 0.981, -7.904, -3.204, -118.378, 0.0, 0.0, 0.0
0.103, -0.14, 1.008, -11.261, 6.836, -135.559, 0.0, 0.0, 0.0
0.121, -0.041, 0.932, -10.498, 11.505, -181.274, 0.0, 0.0, 0.0
0.131, -0.048, 0.976, -9.674, -3.448, -212.982, 0.0, 0.0, 0.0
0.148, -0.14, 0.998, -9.277, 9.521, -235.413, 0.0, 0.0, 0.0
-0.019, -0.128, 0.922, -8.057, 4.333, -226.135, 0.0, 0.0, 0.0
-0.031, -0.09, 0.978, 1.923, 0.458, -223.633, 0.0, 0.0, 0.0
0.023, -0.064, 0.971, -8.575, 8.667, -231.323, 0.0, 0.0, 0.0
0.009, 0.024, 1.01, -6.348, 0.763, -259.216, 0.0, 0.0, 0.0
-0.14, -0.061, 1.023, -9.43, -20.508, -225.769, 0.0, 0.0, 0.0
-0.071, -0.128, 1.013, 2.319, -9.247, -230.133, 0.0, 0.0, 0.0
-0.152, -0.077, 1.009, -10.284, 9.399, -212.891, 0.0, 0.0, 0.0
-0.078, -0.074, 1.002, 2.563, 0.214, -170.959, 0.0, 0.0, 0.0
-0.069, -0.088, 0.916, -3.693, 9.033, -165.436, 0.0, 0.0, 0.0
-0.015, -0.071, 0.936, 0.031, 3.998, -175.049, 0.0, 0.0, 0.0
-0.072, -0.009, 0.994, -16.449, 9.43, -211.09, 0.0, 0.0, 0.0
-0.054, -0.005, 0.935, -7.751, 2.136, -248.291, 0.0, 0.0, 0.0
-0.15, -0.022, 1.031, -4.028, 6.012, -258.362, 0.0, 0.0, 0.0
-0.163, -0.041, 1.026, -9.857, 9.125, -234.741, 0.0, 0.0, 0.0
-0.228, -0.085, 1.012, -9.125, -9.644, -197.021, 0.0, 0.0, 0.0
