### File1
### Start time : 2024/04/10 13:23:32
### ACC FSR:8G
### GYRO FSR:2000
### MAG DATA:MAG OFF
### Interrupt Threshold:0101
### Data Rate:50Hz
### Data Type:9X DATA
### Feature:6X_LP_QUAT
### Gyro Cal:NO
### Gyro Data:CAL
### Acc Data:RAW
accX, accY, accZ, gyroX, gyroY, gyroZ, magX, magY, magZ
-0.191, -0.07, 0.935, -15.808, -17.273, -9.521, 0.0, 0.0, 0.0
-0.314, -0.093, 0.915, -15.686, -16.968, -23.071, 0.0, 0.0, 0.0
-0.176, 0.002, 1.006, -15.93, 5.737, -17.273, 0.0, 0.0, 0.0
-0.178, 0.02, 0.92, -15.991, 4.883, -21.362, 0.0, 0.0, 0.0
-0.406, -0.004, 1.021, -16.113, 1.221, -33.081, 0.0, 0.0, 0.0
-0.226, 0.093, 0.987, -15.991, 2.197, -33.02, 0.0, 0.0, 0.0
-0.389, -0.005, 0.971, -15.686, 1.038, -32.593, 0.0, 0.0, 0.0
-0.366, -0.019, 1.016, 0.305, -18.494, -19.409, 0.0, 0.0, 0.0
-0.174, -0.011, 0.978, 0.061, 6.897, -1.099, 0.0, 0.0, 0.0
-0.248, -0.017, 1.028, 0.122, 4.578, 22.095, 0.0, 0.0, 0.0
-0.284, 0.011, 0.964, 0.549, 2.38, 14.221, 0.0, 0.0, 0.0
-0.173, -0.081, 0.984, 0.0, 7.446, 25.574, 0.0, 0.0, 0.0
-0.157, -0.09, 0.988, 0.977, 0.793, 27.466, 0.0, 0.0, 0.0
-0.263, -0.096, 0.931, 0.732, -19.409, 48.157, 0.0, 0.0, 0.0
-0.253, -0.057, 0.93, -16.113, -17.212, 52.673, 0.0, 0.0, 0.0
-0.114, -0.034, 1.01, -15.991, 4.639, 42.908, 0.0, 0.0, 0.0
-0.098, -0.032, 0.969, -15.991, 6.775, 66.345, 0.0, 0.0, 0.0
-0.126, -0.126, 0.937, 0.793, -15.686, 56.458, 0.0, 0.0, 0.0
-0.074, -0.145, 1.005, 0.671, 2.319, 56.03, 0.0, 0.0, 0.0
-0.137, -0.053, 1.022, 0.305, 3.784, 57.8, 0.0, 0.0, 0.0
-0.088, -0.131, 1.008, 0.854, 3.784, 83.13, 0.0, 0.0, 0.0
0.129, -0.113, 0.925, 1.282, 2.38, 70.557, 0.0, 0.0, 0.0
0.062, -0.1, 0.93, 1.282, 0.244, 81.848, 0.0, 0.0, 0.0
0.032, -0.062, 1.0, 1.648, 1.526, 81.116, 0.0, 0.0, 0.0
0.034, -0.055, 1.0, 1.465, 5.371, 78.674, 0.0, 0.0, 0.0
0.056, -0.061, 1.007, 2.014, -7.141, 55.786, 0.0, 0.0, 0.0
0.218, -0.14, 1.005, 0.977, 0.427, 62.988, 0.0, 0.0, 0.0
0.062, -0.092, 0.936, 0.305, -20.569, 30.884, 0.0, 0.0, 0.0
0.057, -0.156, 1.076, -15.808, -16.541, 23.865, 0.0, 0.0, 0.0
0.013, -0.101, 0.922, 1.343, -17.456, 34.79, 0.0, 0.0, 0.0
0.09, -0.188, 0.98, 0.854, -7.263, 26.611, 0.0, 0.0, 0.0
0.152, -0.046, 1.009, 0.488, 5.981, 29.358, 0.0, 0.0, 0.0
0.13, -0.125, 0.929, 0.183, 1.404, 25.33, 0.0, 0.0, 0.0
0.188, -0.155, 1.017, 1.587, 1.709, 35.339, 0.0, 0.0, 0.0
0.115, -0.056, 1.008, 1.526, 3.174, 9.216, 0.0, 0.0, 0.0
0.177, -0.137, 0.812, 1.648, -23.071, 21.362, 0.0, 0.0, 0.0
0.155, -0.073, 0.924, 0.183, -6.165, 4.395, 0.0, 0.0, 0.0
0.173, -0.069, 0.924, -16.663, -6.531, -19.592, 0.0, 0.0, 0.0
0.193, -0.126, 1.018, -17.151, -7.629, -9.46, 0.0, 0.0, 0.0
0.211, -0.132, 1.013, -16.479, 3.723, -22.4, 0.0, 0.0, 0.0
0.167, -0.047, 1.026, -16.663, 5.493, -9.521, 0.0, 0.0, 0.0
0.174, -0.078, 0.929, -16.235, 3.784, -13.489, 0.0, 0.0, 0.0
