### File1
### Start time : 2024/03/29 09:09:42
### ACC FSR:2G
### GYRO FSR:2000
### MAG DATA:MAG OFF
### Interrupt Threshold:1201
### Data Rate:50Hz
### Data Type:9X DATA
### Feature:LP_QUAT
### Gyro Cal:YES
### Gyro Data:CAL
### Acc Data:RAW
accX, accY, accZ, gyroX, gyroY, gyroZ, magX, magY, magZ
0.004, -0.032, 0.987, -17.029, -21.423, 0.977, 0.0, 0.0, 0.0
0.016, -0.086, 1.033, -16.541, 4.7, 6.287, 0.0, 0.0, 0.0
0.036, 0.023, 1.326, 45.776, 7.324, 4.395, 0.0, 0.0, 0.0
0.019, 0.032, 1.591, 90.393, 15.32, 3.418, 0.0, 0.0, 0.0
0.004, 0.07, 1.705, 99.548, 29.968, 3.174, 0.0, 0.0, 0.0
0.01, 0.047, 1.783, 41.504, -4.517, 1.465, 0.0, 0.0, 0.0
0.011, 0.049, 1.73, -12.39, -54.199, 5.859, 0.0, 0.0, 0.0
-0.083, 0.112, 1.596, -83.252, -72.571, -1.221, 0.0, 0.0, 0.0
-0.037, 0.192, 1.54, -95.276, -76.111, 5.432, 0.0, 0.0, 0.0
-0.003, 0.133, 1.504, -82.458, -83.862, 1.465, 0.0, 0.0, 0.0
-0.005, 0.049, 1.427, -67.81, -82.581, 2.563, 0.0, 0.0, 0.0
0.065, -0.074, 1.301, -45.959, -58.716, -23.071, 0.0, 0.0, 0.0
0.145, -0.195, 1.25, -62.683, -62.744, -32.898, 0.0, 0.0, 0.0
0.162, -0.154, 1.102, -78.491, -70.007, -37.17, 0.0, 0.0, 0.0
0.119, -0.063, 1.034, -70.923, -58.044, -24.292, 0.0, 0.0, 0.0
0.075, -0.036, 1.058, -59.875, -70.129, -24.292, 0.0, 0.0, 0.0
0.035, -0.06, 0.982, -42.358, -68.359, -38.025, 0.0, 0.0, 0.0
0.008, -0.062, 0.902, -29.053, -46.814, -36.682, 0.0, 0.0, 0.0
0.026, -0.059, 0.836, -23.621, -63.904, -35.645, 0.0, 0.0, 0.0
0.07, -0.059, 0.797, -10.803, -42.419, -37.537, 0.0, 0.0, 0.0
0.08, -0.065, 0.792, -19.409, -49.072, -37.415, 0.0, 0.0, 0.0
0.132, -0.048, 0.782, 3.174, -50.537, -28.992, 0.0, 0.0, 0.0
0.134, -0.036, 0.699, 19.165, -26.672, -41.931, 0.0, 0.0, 0.0
0.158, -0.049, 0.623, -1.343, -26.489, -62.744, 0.0, 0.0, 0.0
0.204, -0.068, 0.673, -19.592, -52.734, -43.03, 0.0, 0.0, 0.0
0.184, -0.102, 0.638, -17.395, -53.223, -40.161, 0.0, 0.0, 0.0
0.182, -0.14, 0.594, 16.357, -24.048, -45.959, 0.0, 0.0, 0.0
0.233, -0.108, 0.591, 11.78, -11.658, -54.81, 0.0, 0.0, 0.0
0.214, -0.089, 0.607, 15.442, -21.423, -68.787, 0.0, 0.0, 0.0
0.237, -0.025, 0.627, 27.1, -9.033, -66.04, 0.0, 0.0, 0.0
0.211, -0.002, 0.498, 41.931, -8.85, -64.209, 0.0, 0.0, 0.0
0.2, 0.03, 0.466, 54.382, 0.122, -64.697, 0.0, 0.0, 0.0
0.224, 0.047, 0.58, 10.071, 1.526, -40.039, 0.0, 0.0, 0.0
0.252, 0.091, 0.755, -5.066, 2.014, -48.767, 0.0, 0.0, 0.0
0.275, 0.125, 0.871, 16.968, -18.433, -26.123, 0.0, 0.0, 0.0
0.322, 0.09, 0.822, 32.715, -12.329, -34.546, 0.0, 0.0, 0.0
0.349, 0.042, 0.721, 34.607, -15.076, -14.465, 0.0, 0.0, 0.0
0.346, 0.048, 0.709, 2.441, -38.818, -9.949, 0.0, 0.0, 0.0
0.394, 0.013, 0.804, -29.602, -48.523, -22.278, 0.0, 0.0, 0.0
0.438, 0.013, 0.797, -24.414, -28.931, -23.132, 0.0, 0.0, 0.0
0.417, -0.014, 0.78, -11.902, -38.574, -22.339, 0.0, 0.0, 0.0
0.429, -0.003, 0.787, -19.897, -32.41, -9.338, 0.0, 0.0, 0.0
0.441, 0.032, 0.779, -20.447, -13.245, -10.498, 0.0, 0.0, 0.0
0.442, 0.033, 0.833, -22.888, -14.465, -8.423, 0.0, 0.0, 0.0
0.435, 0.054, 0.835, -15.808, -15.32, -8.667, 0.0, 0.0, 0.0
0.439, 0.043, 0.799, 4.028, -14.587, -9.338, 0.0, 0.0, 0.0
0.417, 0.048, 0.775, 1.282, -14.16, -21.179, 0.0, 0.0, 0.0
0.476, 0.03, 0.781, -17.151, -13.672, -17.456, 0.0, 0.0, 0.0
0.468, 0.01, 0.778, -19.714, -9.46, -17.7, 0.0, 0.0, 0.0
