### File1
### Start time : 2024/03/29 08:44:58
### ACC FSR:2G
### GYRO FSR:2000
### MAG DATA:MAG OFF
### Interrupt Threshold:1201
### Data Rate:50Hz
### Data Type:9X DATA
### Feature:LP_QUAT
### Gyro Cal:YES
### Gyro Data:CAL
### Acc Data:RAW
accX, accY, accZ, gyroX, gyroY, gyroZ, magX, magY, magZ
0.04, 0.019, 1.06, -8.972, 25.208, -7.385, 0.0, 0.0, 0.0
0.0, 0.025, 1.108, -9.216, 78.247, -2.808, 0.0, 0.0, 0.0
-0.079, 0.012, 1.077, -54.688, 107.666, 21.362, 0.0, 0.0, 0.0
-0.125, -0.064, 1.106, -73.303, 142.212, 36.133, 0.0, 0.0, 0.0
-0.221, -0.084, 1.28, -81.604, 106.384, 26.672, 0.0, 0.0, 0.0
-0.177, -0.128, 1.435, -52.551, 56.274, 24.353, 0.0, 0.0, 0.0
-0.075, -0.154, 1.565, -32.715, -1.892, 10.376, 0.0, 0.0, 0.0
-0.081, -0.08, 1.663, 16.785, -68.298, 4.517, 0.0, 0.0, 0.0
-0.195, -0.112, 1.599, 30.579, -76.111, -19.348, 0.0, 0.0, 0.0
-0.242, -0.124, 1.406, 35.339, -95.459, 0.793, 0.0, 0.0, 0.0
-0.217, -0.143, 1.333, 33.325, -56.885, -6.531, 0.0, 0.0, 0.0
-0.11, -0.027, 1.324, 21.24, -25.208, -5.432, 0.0, 0.0, 0.0
-0.043, -0.063, 1.276, 7.874, -48.828, 16.541, 0.0, 0.0, 0.0
0.017, -0.1, 1.196, 24.475, -46.875, -1.038, 0.0, 0.0, 0.0
0.009, -0.053, 1.206, 28.442, -41.321, 1.038, 0.0, 0.0, 0.0
-0.019, -0.061, 1.086, 47.18, -59.143, -9.583, 0.0, 0.0, 0.0
-0.044, -0.1, 1.009, 51.086, -99.731, -36.133, 0.0, 0.0, 0.0
-0.02, -0.041, 1.055, 29.724, -95.642, -26.978, 0.0, 0.0, 0.0
0.0, -0.063, 1.076, 26.245, -55.847, -37.903, 0.0, 0.0, 0.0
0.075, -0.083, 1.014, 24.475, -30.212, -36.987, 0.0, 0.0, 0.0
0.189, -0.05, 1.012, 37.598, -22.583, -26.917, 0.0, 0.0, 0.0
0.171, -0.049, 1.063, 35.4, 3.784, -31.128, 0.0, 0.0, 0.0
0.078, -0.071, 1.049, 53.833, -19.287, -31.25, 0.0, 0.0, 0.0
0.036, -0.053, 1.068, 66.162, -5.31, -30.762, 0.0, 0.0, 0.0
0.011, -0.001, 0.904, 45.715, 33.997, -28.442, 0.0, 0.0, 0.0
0.043, 0.059, 0.701, 44.983, 12.817, -27.649, 0.0, 0.0, 0.0
0.025, 0.054, 0.628, 56.519, 1.648, -48.157, 0.0, 0.0, 0.0
0.017, 0.065, 0.639, 56.458, -20.447, -40.283, 0.0, 0.0, 0.0
-0.034, 0.146, 0.727, 42.114, 17.212, -44.678, 0.0, 0.0, 0.0
-0.029, 0.092, 0.635, 53.345, 14.709, -39.246, 0.0, 0.0, 0.0
-0.041, 0.045, 0.592, 42.908, 9.949, -51.941, 0.0, 0.0, 0.0
-0.03, 0.102, 0.62, 63.049, 19.165, -51.514, 0.0, 0.0, 0.0
-0.061, 0.25, 0.656, 55.786, -0.854, -30.701, 0.0, 0.0, 0.0
-0.048, 0.323, 0.626, 44.922, 36.56, -36.621, 0.0, 0.0, 0.0
-0.036, 0.306, 0.567, 38.696, 39.673, -10.437, 0.0, 0.0, 0.0
-0.041, 0.346, 0.587, 35.706, 31.067, -22.034, 0.0, 0.0, 0.0
-0.045, 0.41, 0.662, 38.757, 35.278, -23.132, 0.0, 0.0, 0.0
