### File1
### Start time : 2024/03/29 08:44:25
### ACC FSR:2G
### GYRO FSR:2000
### MAG DATA:MAG OFF
### Interrupt Threshold:1201
### Data Rate:50Hz
### Data Type:9X DATA
### Feature:LP_QUAT
### Gyro Cal:YES
### Gyro Data:CAL
### Acc Data:RAW
accX, accY, accZ, gyroX, gyroY, gyroZ, magX, magY, magZ
-0.027, 0.151, 1.403, -3.235, 31.006, -10.01, 0.0, 0.0, 0.0
-0.106, 0.154, 1.562, -51.636, 46.509, -18.738, 0.0, 0.0, 0.0
-0.103, 0.077, 1.686, -40.649, 52.063, 18.921, 0.0, 0.0, 0.0
-0.092, -0.026, 1.872, -33.02, 10.925, 31.982, 0.0, 0.0, 0.0
-0.069, 0.007, 1.96, -18.188, -3.357, -0.854, 0.0, 0.0, 0.0
-0.091, -0.052, 1.913, 13.855, -34.973, -0.183, 0.0, 0.0, 0.0
-0.102, -0.1, 1.775, 46.692, -64.209, 21.301, 0.0, 0.0, 0.0
-0.117, -0.062, 1.56, 83.618, -78.857, 20.874, 0.0, 0.0, 0.0
-0.075, -0.045, 1.309, 79.285, -42.603, 19.47, 0.0, 0.0, 0.0
-0.037, -0.068, 1.228, 46.143, -34.607, 17.456, 0.0, 0.0, 0.0
0.022, -0.046, 1.186, 48.218, -21.973, -4.639, 0.0, 0.0, 0.0
-0.007, -0.036, 1.126, 47.913, -18.188, -16.235, 0.0, 0.0, 0.0
0.034, 0.018, 1.101, 44.312, -21.362, -10.559, 0.0, 0.0, 0.0
0.111, 0.009, 1.07, 83.496, -53.65, -32.959, 0.0, 0.0, 0.0
0.089, 0.018, 1.016, 90.454, -79.163, -25.94, 0.0, 0.0, 0.0
0.075, 0.054, 0.815, 110.657, -64.575, -40.466, 0.0, 0.0, 0.0
0.026, 0.035, 0.731, 99.06, -28.625, -64.697, 0.0, 0.0, 0.0
0.067, 0.028, 0.782, 95.398, -53.894, -68.97, 0.0, 0.0, 0.0
0.025, 0.043, 0.744, 74.219, -28.503, -58.655, 0.0, 0.0, 0.0
0.059, 0.17, 0.659, 67.749, -2.014, -72.205, 0.0, 0.0, 0.0
0.14, 0.231, 0.58, 41.138, 33.386, -72.571, 0.0, 0.0, 0.0
0.075, 0.156, 0.539, 64.575, -0.366, -79.224, 0.0, 0.0, 0.0
-0.009, 0.183, 0.513, 68.298, -8.85, -62.012, 0.0, 0.0, 0.0
-0.017, 0.319, 0.558, 42.175, -8.057, -78.491, 0.0, 0.0, 0.0
0.015, 0.33, 0.529, 50.171, -0.061, -59.509, 0.0, 0.0, 0.0
-0.028, 0.247, 0.586, 27.222, 37.476, -66.772, 0.0, 0.0, 0.0
-0.096, 0.283, 0.564, 25.513, 28.503, -45.715, 0.0, 0.0, 0.0
-0.127, 0.322, 0.498, 37.354, 30.273, -41.687, 0.0, 0.0, 0.0
-0.092, 0.384, 0.466, 23.438, 31.372, -52.795, 0.0, 0.0, 0.0
-0.114, 0.413, 0.503, 27.771, -4.517, -29.663, 0.0, 0.0, 0.0
-0.101, 0.49, 0.541, 15.137, -4.578, -26.367, 0.0, 0.0, 0.0
-0.103, 0.482, 0.558, -2.197, 34.79, -37.292, 0.0, 0.0, 0.0
-0.152, 0.459, 0.54, -7.568, 28.442, -32.41, 0.0, 0.0, 0.0
-0.193, 0.473, 0.54, -1.709, 9.094, -13.916, 0.0, 0.0, 0.0
-0.146, 0.529, 0.571, 16.174, 3.174, -11.169, 0.0, 0.0, 0.0
-0.083, 0.595, 0.574, -4.761, 6.042, -9.705, 0.0, 0.0, 0.0
