### File1
### Start time : 2024/03/29 08:48:29
### ACC FSR:2G
### GYRO FSR:2000
### MAG DATA:MAG OFF
### Interrupt Threshold:1201
### Data Rate:50Hz
### Data Type:9X DATA
### Feature:LP_QUAT
### Gyro Cal:YES
### Gyro Data:CAL
### Acc Data:RAW
accX, accY, accZ, gyroX, gyroY, gyroZ, magX, magY, magZ
-0.11, -0.005, 0.971, -17.517, -33.264, -3.296, 0.0, 0.0, 0.0
-0.049, 0.056, 1.064, -2.869, -10.01, 16.663, 0.0, 0.0, 0.0
-0.073, -0.061, 0.965, 47.607, -13.855, 38.147, 0.0, 0.0, 0.0
-0.083, -0.083, 1.006, 13.306, 0.916, 11.597, 0.0, 0.0, 0.0
-0.093, 0.05, 1.052, 18.555, 2.747, 4.822, 0.0, 0.0, 0.0
-0.112, 0.078, 1.029, -23.193, -9.277, -18.982, 0.0, 0.0, 0.0
-0.061, 0.025, 1.113, -9.216, -12.024, -22.278, 0.0, 0.0, 0.0
0.033, -0.053, 1.178, 6.348, -20.935, -18.494, 0.0, 0.0, 0.0
-0.01, -0.073, 1.144, 1.282, -19.714, 20.569, 0.0, 0.0, 0.0
-0.05, -0.069, 1.093, -8.606, -10.254, 19.714, 0.0, 0.0, 0.0
-0.083, 0.003, 1.163, -10.376, -14.221, 1.831, 0.0, 0.0, 0.0
-0.115, 0.028, 1.213, -32.166, -31.433, -12.268, 0.0, 0.0, 0.0
-0.079, 0.054, 1.215, -11.719, -32.959, -37.048, 0.0, 0.0, 0.0
0.017, -0.029, 1.163, 1.892, -11.536, -33.203, 0.0, 0.0, 0.0
0.003, -0.047, 1.123, 5.615, -15.381, -15.869, 0.0, 0.0, 0.0
-0.008, -0.028, 1.2, -22.095, -24.536, 5.92, 0.0, 0.0, 0.0
-0.039, -0.028, 1.273, 0.122, -34.851, 2.625, 0.0, 0.0, 0.0
-0.04, -0.047, 1.246, 22.034, -18.066, -7.935, 0.0, 0.0, 0.0
-0.069, -0.011, 1.208, 12.268, 3.54, -32.41, 0.0, 0.0, 0.0
-0.07, -0.007, 1.134, -6.592, -19.104, -36.377, 0.0, 0.0, 0.0
-0.065, -0.002, 1.059, -9.521, -35.95, -33.997, 0.0, 0.0, 0.0
-0.045, 0.026, 1.013, -36.621, -48.34, -9.644, 0.0, 0.0, 0.0
-0.042, 0.059, 1.065, -35.645, -39.551, -19.653, 0.0, 0.0, 0.0
-0.041, 0.084, 1.081, -9.277, -39.429, 0.0, 0.0, 0.0, 0.0
-0.047, 0.035, 0.964, -6.775, -37.048, 3.723, 0.0, 0.0, 0.0
-0.015, 0.044, 0.924, 8.301, 7.08, 5.005, 0.0, 0.0, 0.0
0.031, 0.052, 0.91, -0.854, 6.592, 0.488, 0.0, 0.0, 0.0
0.073, -0.038, 0.943, -10.559, -24.231, -18.494, 0.0, 0.0, 0.0
0.087, -0.033, 1.033, -35.95, -54.688, -18.677, 0.0, 0.0, 0.0
0.085, 0.02, 1.027, -17.456, -29.785, -15.991, 0.0, 0.0, 0.0
0.044, 0.037, 0.986, 17.7, -35.217, 0.732, 0.0, 0.0, 0.0
0.029, 0.004, 0.96, 17.517, -38.086, 3.052, 0.0, 0.0, 0.0
0.034, 0.013, 0.93, -0.61, -25.269, 4.272, 0.0, 0.0, 0.0
0.097, 0.064, 0.939, -6.897, -23.804, -16.235, 0.0, 0.0, 0.0
0.115, 0.035, 0.911, -18.799, -39.49, -19.348, 0.0, 0.0, 0.0
0.078, 0.049, 0.876, -8.057, -66.65, -20.63, 0.0, 0.0, 0.0
0.111, 0.042, 0.826, 1.404, -53.223, -21.606, 0.0, 0.0, 0.0
0.129, 0.045, 0.814, -5.493, -35.522, -18.433, 0.0, 0.0, 0.0
0.133, 0.052, 0.807, -4.028, -9.827, -16.663, 0.0, 0.0, 0.0
0.146, 0.047, 0.822, -6.531, -18.433, -15.869, 0.0, 0.0, 0.0
0.164, 0.009, 0.872, 5.554, -20.203, -17.944, 0.0, 0.0, 0.0
0.153, 0.021, 0.859, -16.541, -32.104, -21.851, 0.0, 0.0, 0.0
0.177, 0.042, 0.867, -19.47, -15.381, -12.634, 0.0, 0.0, 0.0
0.176, 0.064, 0.884, -7.935, -34.668, -10.254, 0.0, 0.0, 0.0
0.172, 0.044, 0.873, -16.418, -32.227, -22.278, 0.0, 0.0, 0.0
0.194, 0.049, 0.848, -5.798, -8.423, -7.935, 0.0, 0.0, 0.0
0.181, 0.038, 0.847, 2.869, -11.902, -7.874, 0.0, 0.0, 0.0
0.21, 0.012, 0.869, -15.442, -26.123, -22.888, 0.0, 0.0, 0.0
0.235, 0.017, 0.868, -35.706, -47.852, -8.545, 0.0, 0.0, 0.0
0.239, 0.031, 0.873, -10.071, -23.56, -10.437, 0.0, 0.0, 0.0
