### File1
### Start time : 2024/03/29 09:04:13
### ACC FSR:2G
### GYRO FSR:2000
### MAG DATA:MAG OFF
### Interrupt Threshold:1201
### Data Rate:50Hz
### Data Type:9X DATA
### Feature:LP_QUAT
### Gyro Cal:YES
### Gyro Data:CAL
### Acc Data:RAW
accX, accY, accZ, gyroX, gyroY, gyroZ, magX, magY, magZ
-0.01, 0.489, 0.522, 64.941, -14.832, 6.104, 0.0, 0.0, 0.0
-0.026, 0.52, 0.538, 43.64, -12.329, -1.526, 0.0, 0.0, 0.0
-0.009, 0.462, 0.5, 35.4, 18.677, -5.859, 0.0, 0.0, 0.0
0.011, 0.478, 0.52, -7.568, 26.855, -18.311, 0.0, 0.0, 0.0
0.049, 0.462, 0.522, -20.996, 27.893, -22.705, 0.0, 0.0, 0.0
0.014, 0.439, 0.462, -13.0, 15.198, -8.057, 0.0, 0.0, 0.0
0.017, 0.482, 0.434, -13.55, 20.447, -10.254, 0.0, 0.0, 0.0
0.025, 0.571, 0.496, -11.353, 22.705, -21.301, 0.0, 0.0, 0.0
-0.035, 0.509, 0.464, -13.55, 21.545, -5.188, 0.0, 0.0, 0.0
0.033, 0.532, 0.478, -9.033, 13.489, 20.203, 0.0, 0.0, 0.0
0.076, 0.566, 0.507, -37.048, 31.616, -2.014, 0.0, 0.0, 0.0
0.116, 0.605, 0.548, -38.818, 14.343, 7.385, 0.0, 0.0, 0.0
0.062, 0.599, 0.612, -37.72, -0.366, -4.395, 0.0, 0.0, 0.0
0.01, 0.566, 0.588, -37.292, -14.648, 19.653, 0.0, 0.0, 0.0
0.004, 0.547, 0.545, -33.325, -24.719, 9.888, 0.0, 0.0, 0.0
0.015, 0.514, 0.513, -29.663, -22.583, 19.348, 0.0, 0.0, 0.0
0.065, 0.518, 0.528, -65.735, -0.183, 6.409, 0.0, 0.0, 0.0
0.012, 0.461, 0.538, -78.491, 31.494, 0.916, 0.0, 0.0, 0.0
0.031, 0.44, 0.527, -72.51, 37.354, -17.456, 0.0, 0.0, 0.0
0.037, 0.443, 0.548, -76.965, 10.742, 3.418, 0.0, 0.0, 0.0
-0.017, 0.429, 0.51, -75.745, 5.981, -5.615, 0.0, 0.0, 0.0
-0.048, 0.314, 0.544, -74.646, -21.484, -4.395, 0.0, 0.0, 0.0
-0.07, 0.285, 0.667, -70.984, -31.86, -5.981, 0.0, 0.0, 0.0
-0.05, 0.293, 0.71, -73.975, -35.828, -7.324, 0.0, 0.0, 0.0
-0.01, 0.289, 0.679, -89.661, -23.438, -18.127, 0.0, 0.0, 0.0
-0.012, 0.245, 0.745, -106.079, 17.273, -33.875, 0.0, 0.0, 0.0
-0.041, 0.209, 0.807, -125.671, 14.221, -29.114, 0.0, 0.0, 0.0
-0.086, 0.122, 0.871, -125.427, 8.118, -49.438, 0.0, 0.0, 0.0
-0.123, 0.107, 1.025, -103.577, -18.066, -24.292, 0.0, 0.0, 0.0
-0.141, 0.135, 1.14, -89.111, -36.377, -8.789, 0.0, 0.0, 0.0
-0.161, 0.097, 1.203, -97.412, -18.616, -8.911, 0.0, 0.0, 0.0
-0.188, 0.072, 1.279, -86.67, 16.296, -35.4, 0.0, 0.0, 0.0
-0.166, 0.026, 1.347, -95.642, 12.878, -39.001, 0.0, 0.0, 0.0
-0.163, -0.021, 1.375, -85.876, 13.611, -29.358, 0.0, 0.0, 0.0
-0.171, -0.002, 1.455, -67.871, 5.249, -47.363, 0.0, 0.0, 0.0
-0.282, 0.037, 1.594, -36.804, -30.64, -14.587, 0.0, 0.0, 0.0
-0.281, 0.033, 1.584, -1.343, -63.965, -7.813, 0.0, 0.0, 0.0
-0.227, -0.001, 1.435, 12.939, -28.076, -4.333, 0.0, 0.0, 0.0
-0.174, 0.069, 1.309, 16.479, -6.531, -11.414, 0.0, 0.0, 0.0
-0.19, 0.098, 1.177, -19.714, 13.672, -27.527, 0.0, 0.0, 0.0
-0.188, 0.057, 1.041, -20.63, 7.813, -38.635, 0.0, 0.0, 0.0
-0.107, 0.055, 1.041, -4.395, -25.757, -6.47, 0.0, 0.0, 0.0
-0.112, 0.206, 1.157, 2.441, -22.888, -16.357, 0.0, 0.0, 0.0
-0.114, 0.153, 1.128, -9.583, -0.244, -15.625, 0.0, 0.0, 0.0
-0.15, 0.216, 1.21, 3.418, -3.235, -35.767, 0.0, 0.0, 0.0
-0.204, 0.134, 1.151, 4.089, -29.541, -23.376, 0.0, 0.0, 0.0
-0.145, 0.039, 1.007, -28.809, -43.823, -34.851, 0.0, 0.0, 0.0
-0.091, 0.051, 0.971, -7.996, -35.095, -21.24, 0.0, 0.0, 0.0
-0.096, 0.044, 0.935, 3.418, -18.188, 3.54, 0.0, 0.0, 0.0
-0.097, 0.086, 0.953, 6.47, 19.958, -19.897, 0.0, 0.0, 0.0
-0.08, 0.097, 0.989, -20.386, -4.944, -10.681, 0.0, 0.0, 0.0
-0.056, 0.074, 0.987, -37.72, -32.837, -12.573, 0.0, 0.0, 0.0
-0.069, 0.099, 0.952, -44.006, -66.406, -8.362, 0.0, 0.0, 0.0
