### File1
### Start time : 2024/03/28 22:50:21
### ACC FSR:2G
### GYRO FSR:1000
### MAG DATA:MAG OFF
### Interrupt Threshold:1201
### Data Rate:50Hz
### Data Type:9X DATA
### Feature:6X_LP_QUAT
### Gyro Cal:YES
### Gyro Data:CAL
### Acc Data:RAW
accX, accY, accZ, gyroX, gyroY, gyroZ, magX, magY, magZ
0.046, -0.058, 1.047, -8.026, -39.276, 24.506, 0.0, 0.0, 0.0
0.071, -0.196, 1.249, -23.895, -27.527, 46.997, 0.0, 0.0, 0.0
0.045, -0.163, 1.719, -72.693, -28.839, 87.28, 0.0, 0.0, 0.0
0.037, 0.015, 1.738, -48.248, -88.715, 88.562, 0.0, 0.0, 0.0
0.101, -0.093, 1.876, -20.691, 0.122, 31.525, 0.0, 0.0, 0.0
0.08, -0.143, 1.744, -45.471, -23.468, 28.931, 0.0, 0.0, 0.0
-0.007, 0.003, 1.506, -37.17, -20.569, 40.1, 0.0, 0.0, 0.0
-0.009, -0.025, 1.343, -23.682, -24.811, 37.506, 0.0, 0.0, 0.0
-0.066, -0.005, 1.355, 4.913, 0.885, 37.567, 0.0, 0.0, 0.0
-0.048, -0.043, 1.404, 22.4, -0.641, 39.795, 0.0, 0.0, 0.0
-0.02, -0.137, 1.332, 18.646, -9.613, 42.908, 0.0, 0.0, 0.0
-0.013, -0.078, 1.081, -3.082, -12.512, 34.546, 0.0, 0.0, 0.0
-0.02, -0.096, 0.955, -40.009, -23.56, 22.949, 0.0, 0.0, 0.0
0.034, -0.104, 0.928, -66.254, -21.057, 34.576, 0.0, 0.0, 0.0
0.009, -0.073, 0.838, -47.241, -17.029, 26.245, 0.0, 0.0, 0.0
-0.02, -0.102, 0.786, -21.393, -19.501, 16.937, 0.0, 0.0, 0.0
-0.008, -0.026, 0.838, -31.769, -9.979, 11.719, 0.0, 0.0, 0.0
-0.027, -0.032, 0.944, -40.009, -6.989, 17.334, 0.0, 0.0, 0.0
0.005, -0.084, 0.983, -31.677, -26.215, 10.498, 0.0, 0.0, 0.0
-0.014, -0.13, 0.955, 1.892, -26.52, 7.599, 0.0, 0.0, 0.0
-0.044, -0.125, 0.82, 39.368, -14.465, 14.832, 0.0, 0.0, 0.0
0.012, -0.106, 0.821, 80.322, 11.322, 31.891, 0.0, 0.0, 0.0
-0.125, -0.324, 0.714, 63.507, -10.01, -10.803, 0.0, 0.0, 0.0
-0.076, -0.167, 0.691, -15.747, -90.668, -109.467, 0.0, 0.0, 0.0
0.174, 0.067, 0.721, -26.489, -140.594, -164.276, 0.0, 0.0, 0.0
0.35, 0.136, 0.74, -7.935, -113.495, -106.598, 0.0, 0.0, 0.0
0.192, -0.014, 0.508, -19.989, -92.316, -65.308, 0.0, 0.0, 0.0
0.285, -0.024, 0.545, -20.02, -94.482, -76.63, 0.0, 0.0, 0.0
0.279, -0.046, 0.458, -40.924, -92.499, -114.349, 0.0, 0.0, 0.0
0.351, -0.069, 0.391, -61.218, -107.422, -94.269, 0.0, 0.0, 0.0
0.376, -0.065, 0.531, -59.875, -69.031, -45.868, 0.0, 0.0, 0.0
0.393, -0.03, 0.629, -36.316, -46.753, -13.092, 0.0, 0.0, 0.0
0.446, -0.073, 0.592, 9.155, -20.294, -2.991, 0.0, 0.0, 0.0
0.444, -0.121, 0.531, 32.501, -7.843, 4.852, 0.0, 0.0, 0.0
0.49, -0.15, 0.529, 0.336, -13.306, -2.655, 0.0, 0.0, 0.0
0.477, -0.119, 0.587, -47.333, -28.442, -9.888, 0.0, 0.0, 0.0
0.481, -0.129, 0.68, -51.514, -28.809, -4.517, 0.0, 0.0, 0.0
0.523, -0.193, 0.681, -50.781, -33.569, -6.805, 0.0, 0.0, 0.0
0.514, -0.181, 0.645, -29.236, -11.749, -6.622, 0.0, 0.0, 0.0
0.478, -0.133, 0.724, -36.285, -18.005, -5.737, 0.0, 0.0, 0.0
0.486, -0.166, 0.837, -38.483, -24.048, -9.43, 0.0, 0.0, 0.0
0.481, -0.18, 0.848, -24.323, -25.696, 1.587, 0.0, 0.0, 0.0
0.503, -0.187, 0.712, -0.488, -16.571, 0.824, 0.0, 0.0, 0.0
0.516, -0.185, 0.678, 1.343, -9.186, -9.033, 0.0, 0.0, 0.0
