### File1
### Start time : 2024/03/28 22:50:03
### ACC FSR:2G
### GYRO FSR:1000
### MAG DATA:MAG OFF
### Interrupt Threshold:1201
### Data Rate:50Hz
### Data Type:9X DATA
### Feature:6X_LP_QUAT
### Gyro Cal:YES
### Gyro Data:CAL
### Acc Data:RAW
accX, accY, accZ, gyroX, gyroY, gyroZ, magX, magY, magZ
-0.198, -0.211, 1.25, 9.979, -16.632, 5.066, 0.0, 0.0, 0.0
-0.125, -0.233, 1.327, -10.803, -26.245, -16.022, 0.0, 0.0, 0.0
-0.079, -0.309, 1.322, -14.221, -11.047, -14.374, 0.0, 0.0, 0.0
-0.078, -0.289, 1.392, -9.46, 14.862, 0.793, 0.0, 0.0, 0.0
-0.093, -0.215, 1.325, 0.854, 28.87, 7.538, 0.0, 0.0, 0.0
-0.112, -0.221, 1.266, -10.681, 34.943, 17.914, 0.0, 0.0, 0.0
-0.16, -0.229, 1.296, -14.191, 7.507, 16.541, 0.0, 0.0, 0.0
-0.105, -0.236, 1.288, -19.775, 2.96, 13.947, 0.0, 0.0, 0.0
-0.116, -0.213, 1.17, -24.445, 25.421, 15.289, 0.0, 0.0, 0.0
-0.111, -0.274, 1.022, -2.838, 25.299, 10.071, 0.0, 0.0, 0.0
-0.059, -0.259, 1.146, 37.628, 24.658, -11.139, 0.0, 0.0, 0.0
-0.061, -0.271, 1.166, 26.062, 23.041, -7.629, 0.0, 0.0, 0.0
-0.065, -0.267, 1.051, -11.719, 21.606, -5.432, 0.0, 0.0, 0.0
-0.055, -0.216, 1.042, 10.254, 33.081, -7.355, 0.0, 0.0, 0.0
-0.028, -0.149, 1.059, 24.292, 43.182, -16.846, 0.0, 0.0, 0.0
-0.078, -0.116, 1.009, -2.625, 60.181, -7.813, 0.0, 0.0, 0.0
-0.097, -0.187, 0.889, -26.581, 71.777, -27.405, 0.0, 0.0, 0.0
-0.096, -0.183, 0.896, 0.183, 68.573, -47.394, 0.0, 0.0, 0.0
-0.01, -0.125, 0.861, 11.2, 70.404, -35.645, 0.0, 0.0, 0.0
-0.101, -0.163, 0.76, 1.404, 62.378, -39.703, 0.0, 0.0, 0.0
-0.151, -0.143, 0.881, 8.453, 56.885, -39.886, 0.0, 0.0, 0.0
-0.157, -0.086, 0.878, 0.031, 40.07, -31.281, 0.0, 0.0, 0.0
-0.222, 0.049, 0.815, -24.231, 22.797, -12.573, 0.0, 0.0, 0.0
-0.274, -0.028, 0.782, -41.779, 24.414, -34.454, 0.0, 0.0, 0.0
-0.208, -0.107, 0.725, -26.215, 15.564, -46.661, 0.0, 0.0, 0.0
-0.111, -0.082, 0.682, -1.617, 23.132, -54.199, 0.0, 0.0, 0.0
-0.039, -0.129, 0.643, -10.529, 20.416, -58.502, 0.0, 0.0, 0.0
-0.076, -0.218, 0.617, -21.057, 18.463, -48.767, 0.0, 0.0, 0.0
-0.067, -0.212, 0.632, -17.792, -1.923, -27.771, 0.0, 0.0, 0.0
-0.163, -0.178, 0.695, 8.148, 15.808, -27.039, 0.0, 0.0, 0.0
-0.23, -0.164, 0.718, -4.761, 11.23, -23.499, 0.0, 0.0, 0.0
-0.319, -0.166, 0.657, -13.031, 16.083, -25.146, 0.0, 0.0, 0.0
-0.35, -0.157, 0.664, -3.052, 13.611, -29.327, 0.0, 0.0, 0.0
-0.312, -0.184, 0.652, -1.221, 13.336, -36.835, 0.0, 0.0, 0.0
-0.307, -0.215, 0.649, -2.289, 14.557, -36.652, 0.0, 0.0, 0.0
-0.349, -0.255, 0.651, 1.984, 7.66, -39.307, 0.0, 0.0, 0.0
-0.363, -0.298, 0.665, 8.972, 8.759, -29.602, 0.0, 0.0, 0.0
-0.338, -0.258, 0.696, 16.876, -1.678, -22.491, 0.0, 0.0, 0.0
-0.289, -0.251, 0.743, -4.333, 2.533, -25.879, 0.0, 0.0, 0.0
-0.331, -0.364, 0.679, -14.648, 7.416, -20.386, 0.0, 0.0, 0.0
-0.35, -0.331, 0.737, 17.242, 26.154, -27.405, 0.0, 0.0, 0.0
-0.364, -0.253, 0.823, 13.306, 12.787, -22.461, 0.0, 0.0, 0.0
