### File1
### Start time : 2024/03/29 09:12:22
### ACC FSR:2G
### GYRO FSR:2000
### MAG DATA:MAG OFF
### Interrupt Threshold:1201
### Data Rate:50Hz
### Data Type:9X DATA
### Feature:LP_QUAT
### Gyro Cal:YES
### Gyro Data:CAL
### Acc Data:RAW
accX, accY, accZ, gyroX, gyroY, gyroZ, magX, magY, magZ
-0.015, -0.144, 1.223, -21.179, 9.155, -18.494, 0.0, 0.0, 0.0
-0.05, -0.125, 1.217, -33.386, 1.892, -12.268, 0.0, 0.0, 0.0
-0.025, -0.092, 1.288, -26.001, -8.85, -31.738, 0.0, 0.0, 0.0
0.019, -0.147, 1.395, -39.063, -11.658, -12.268, 0.0, 0.0, 0.0
0.008, -0.155, 1.355, -13.062, -12.512, -12.268, 0.0, 0.0, 0.0
0.018, -0.159, 1.359, -18.86, -11.414, -15.076, 0.0, 0.0, 0.0
0.033, -0.16, 1.344, -16.724, -29.48, -9.644, 0.0, 0.0, 0.0
0.059, -0.209, 1.325, -9.216, -68.359, -22.522, 0.0, 0.0, 0.0
0.079, -0.171, 1.292, -14.709, -58.167, -14.893, 0.0, 0.0, 0.0
0.025, -0.141, 1.275, -14.16, -55.847, -37.72, 0.0, 0.0, 0.0
-0.003, -0.131, 1.239, -20.447, -62.012, -37.903, 0.0, 0.0, 0.0
0.043, -0.161, 1.13, 5.249, -82.703, -34.973, 0.0, 0.0, 0.0
0.101, -0.174, 1.111, -3.113, -62.012, -31.311, 0.0, 0.0, 0.0
0.042, -0.192, 1.043, -7.324, -97.839, -31.555, 0.0, 0.0, 0.0
0.01, -0.173, 1.019, -3.174, -113.586, -25.452, 0.0, 0.0, 0.0
0.021, -0.128, 1.008, 14.404, -91.003, -48.828, 0.0, 0.0, 0.0
0.026, -0.09, 0.974, 51.086, -87.341, -50.049, 0.0, 0.0, 0.0
0.056, -0.11, 0.973, 55.054, -86.426, -51.758, 0.0, 0.0, 0.0
0.176, -0.122, 0.878, 97.778, -97.9, -40.527, 0.0, 0.0, 0.0
0.299, -0.141, 0.764, 88.684, -90.332, -49.5, 0.0, 0.0, 0.0
0.304, -0.096, 0.798, 73.73, -126.892, -30.334, 0.0, 0.0, 0.0
0.215, 0.012, 0.718, 70.374, -117.31, -49.316, 0.0, 0.0, 0.0
0.197, 0.073, 0.66, 78.918, -127.625, -49.438, 0.0, 0.0, 0.0
0.281, 0.09, 0.562, 62.378, -109.619, -48.767, 0.0, 0.0, 0.0
0.362, 0.116, 0.482, 84.9, -59.57, -50.659, 0.0, 0.0, 0.0
0.473, 0.132, 0.551, 58.533, -62.805, -29.785, 0.0, 0.0, 0.0
0.474, 0.181, 0.548, 41.26, -61.279, -37.048, 0.0, 0.0, 0.0
0.403, 0.245, 0.494, 29.236, -62.317, -31.311, 0.0, 0.0, 0.0
0.486, 0.253, 0.503, 35.339, -55.786, -12.024, 0.0, 0.0, 0.0
0.482, 0.286, 0.523, 33.02, -53.589, -10.681, 0.0, 0.0, 0.0
0.505, 0.315, 0.521, 35.706, -13.855, -22.888, 0.0, 0.0, 0.0
0.581, 0.266, 0.478, 33.569, -18.738, -16.174, 0.0, 0.0, 0.0
0.558, 0.265, 0.538, 19.165, -22.766, 0.671, 0.0, 0.0, 0.0
0.574, 0.263, 0.573, 2.808, -36.377, -17.09, 0.0, 0.0, 0.0
0.563, 0.277, 0.614, 4.7, -31.677, -20.142, 0.0, 0.0, 0.0
