### File1
### Start time : 2024/03/29 09:06:08
### ACC FSR:2G
### GYRO FSR:2000
### MAG DATA:MAG OFF
### Interrupt Threshold:1201
### Data Rate:50Hz
### Data Type:9X DATA
### Feature:LP_QUAT
### Gyro Cal:YES
### Gyro Data:CAL
### Acc Data:RAW
accX, accY, accZ, gyroX, gyroY, gyroZ, magX, magY, magZ
-0.138, -0.321, 1.321, 1.709, -36.743, 30.884, 0.0, 0.0, 0.0
-0.208, -0.377, 1.288, 12.268, -50.171, 23.682, 0.0, 0.0, 0.0
0.004, -0.318, 1.284, 9.094, -46.692, 32.776, 0.0, 0.0, 0.0
0.155, -0.261, 1.416, 32.288, -43.03, 31.006, 0.0, 0.0, 0.0
0.187, -0.319, 1.435, 50.476, -59.082, 67.017, 0.0, 0.0, 0.0
0.123, -0.347, 1.42, 59.204, -65.491, 39.185, 0.0, 0.0, 0.0
-0.044, -0.419, 1.503, 82.825, -30.029, 46.875, 0.0, 0.0, 0.0
-0.005, -0.466, 1.562, 78.796, -27.771, 36.743, 0.0, 0.0, 0.0
0.087, -0.383, 1.635, 83.801, -38.635, -2.38, 0.0, 0.0, 0.0
-0.009, -0.388, 1.489, 88.501, -21.79, -17.09, 0.0, 0.0, 0.0
0.059, -0.554, 1.086, 93.75, -32.532, -7.324, 0.0, 0.0, 0.0
0.064, -0.427, 0.937, 69.946, -29.785, 9.399, 0.0, 0.0, 0.0
-0.005, -0.334, 0.9, 51.025, -23.987, 28.87, 0.0, 0.0, 0.0
-0.055, -0.288, 0.899, -17.09, -15.747, 31.799, 0.0, 0.0, 0.0
-0.005, -0.253, 0.875, -24.292, 13.245, -2.563, 0.0, 0.0, 0.0
0.049, -0.175, 0.863, -31.677, 25.513, 5.188, 0.0, 0.0, 0.0
0.09, -0.104, 0.802, -0.366, 28.198, 6.348, 0.0, 0.0, 0.0
0.07, -0.122, 0.702, 3.479, 8.667, -7.874, 0.0, 0.0, 0.0
0.098, -0.109, 0.613, -30.09, -51.147, -3.174, 0.0, 0.0, 0.0
0.056, -0.036, 0.739, -9.033, -55.237, 29.236, 0.0, 0.0, 0.0
0.078, -0.128, 0.688, -25.94, -41.26, 17.151, 0.0, 0.0, 0.0
0.091, -0.071, 0.562, 4.272, 7.324, -31.433, 0.0, 0.0, 0.0
0.114, -0.11, 0.559, 34.607, 8.179, -35.095, 0.0, 0.0, 0.0
0.071, -0.082, 0.57, 23.499, -8.057, -9.399, 0.0, 0.0, 0.0
0.063, -0.013, 0.59, 52.551, -31.738, -20.935, 0.0, 0.0, 0.0
0.0, -0.013, 0.643, 40.527, -20.752, -19.897, 0.0, 0.0, 0.0
-0.004, -0.087, 0.593, 31.25, -13.55, -17.517, 0.0, 0.0, 0.0
0.009, -0.125, 0.648, 31.799, -12.817, 2.563, 0.0, 0.0, 0.0
