### File1
### Start time : 2024/03/29 08:43:09
### ACC FSR:2G
### GYRO FSR:2000
### MAG DATA:MAG OFF
### Interrupt Threshold:1201
### Data Rate:50Hz
### Data Type:9X DATA
### Feature:LP_QUAT
### Gyro Cal:YES
### Gyro Data:CAL
### Acc Data:RAW
accX, accY, accZ, gyroX, gyroY, gyroZ, magX, magY, magZ
-0.111, 0.178, 1.471, 22.705, -2.441, -5.859, 0.0, 0.0, 0.0
0.005, 0.195, 1.442, 35.156, -10.559, -0.122, 0.0, 0.0, 0.0
0.034, 0.155, 1.372, 27.649, -19.653, 6.104, 0.0, 0.0, 0.0
-0.068, 0.141, 1.33, 44.861, -7.751, -23.071, 0.0, 0.0, 0.0
-0.068, 0.15, 1.217, 59.204, 2.93, -12.573, 0.0, 0.0, 0.0
-0.077, 0.153, 1.149, 59.448, -7.019, -13.245, 0.0, 0.0, 0.0
-0.128, 0.159, 1.131, 61.401, 3.601, -13.672, 0.0, 0.0, 0.0
-0.13, 0.172, 1.091, 80.872, -32.715, -14.16, 0.0, 0.0, 0.0
-0.087, 0.176, 1.061, 81.909, -29.968, -12.756, 0.0, 0.0, 0.0
-0.05, 0.194, 1.019, 78.552, -28.015, -13.855, 0.0, 0.0, 0.0
-0.021, 0.208, 0.994, 55.542, -12.512, -34.973, 0.0, 0.0, 0.0
-0.062, 0.167, 0.947, 69.214, 5.371, -25.208, 0.0, 0.0, 0.0
-0.067, 0.17, 0.914, 68.115, -17.395, -39.001, 0.0, 0.0, 0.0
-0.043, 0.197, 0.911, 66.772, -17.029, -37.598, 0.0, 0.0, 0.0
-0.005, 0.237, 0.827, 64.819, 17.395, -50.537, 0.0, 0.0, 0.0
-0.017, 0.331, 0.722, 44.128, 18.066, -65.491, 0.0, 0.0, 0.0
-0.009, 0.294, 0.718, 39.917, 2.502, -57.495, 0.0, 0.0, 0.0
-0.001, 0.285, 0.628, 63.782, 7.202, -61.218, 0.0, 0.0, 0.0
0.014, 0.271, 0.492, 65.186, 17.212, -82.52, 0.0, 0.0, 0.0
-0.087, 0.196, 0.536, 54.382, 9.46, -74.829, 0.0, 0.0, 0.0
-0.233, 0.197, 0.591, 25.696, 8.606, -72.388, 0.0, 0.0, 0.0
-0.24, 0.257, 0.603, 21.179, 13.733, -55.969, 0.0, 0.0, 0.0
-0.152, 0.265, 0.615, -2.38, 28.748, -40.71, 0.0, 0.0, 0.0
-0.129, 0.297, 0.606, 17.395, 47.485, -53.955, 0.0, 0.0, 0.0
-0.194, 0.354, 0.602, 9.766, 36.682, -43.884, 0.0, 0.0, 0.0
-0.288, 0.422, 0.628, 37.476, 17.456, -41.138, 0.0, 0.0, 0.0
-0.261, 0.455, 0.564, 48.706, -16.357, -28.748, 0.0, 0.0, 0.0
-0.233, 0.466, 0.519, 27.466, -15.747, -38.33, 0.0, 0.0, 0.0
-0.278, 0.535, 0.54, 33.569, 7.324, -31.982, 0.0, 0.0, 0.0
-0.264, 0.54, 0.556, 31.616, 6.348, -22.095, 0.0, 0.0, 0.0
-0.232, 0.566, 0.554, 15.198, -1.404, 1.709, 0.0, 0.0, 0.0
