### File1
### Start time : 2024/03/29 09:04:17
### ACC FSR:2G
### GYRO FSR:2000
### MAG DATA:MAG OFF
### Interrupt Threshold:1201
### Data Rate:50Hz
### Data Type:9X DATA
### Feature:LP_QUAT
### Gyro Cal:YES
### Gyro Data:CAL
### Acc Data:RAW
accX, accY, accZ, gyroX, gyroY, gyroZ, magX, magY, magZ
0.076, -0.523, 0.917, 15.869, -33.813, -4.761, 0.0, 0.0, 0.0
0.083, -0.458, 0.934, -2.625, -49.072, -0.366, 0.0, 0.0, 0.0
0.087, -0.386, 1.052, -2.014, -30.518, 20.447, 0.0, 0.0, 0.0
0.111, -0.361, 1.166, 21.851, -50.293, 23.254, 0.0, 0.0, 0.0
0.193, -0.326, 1.2, 11.23, -58.533, 14.954, 0.0, 0.0, 0.0
0.195, -0.245, 1.244, 33.63, -74.768, 38.757, 0.0, 0.0, 0.0
0.203, -0.234, 1.271, 27.039, -89.172, 67.322, 0.0, 0.0, 0.0
0.199, -0.296, 1.395, 62.927, -100.037, 82.214, 0.0, 0.0, 0.0
0.347, -0.363, 1.33, 63.721, -72.571, 39.551, 0.0, 0.0, 0.0
0.513, -0.371, 1.226, 29.297, -43.762, -4.456, 0.0, 0.0, 0.0
0.573, -0.347, 1.228, 32.349, -24.048, 6.47, 0.0, 0.0, 0.0
0.497, -0.407, 1.316, 28.687, -11.108, 18.921, 0.0, 0.0, 0.0
0.457, -0.483, 1.327, 46.936, -2.747, 2.136, 0.0, 0.0, 0.0
0.401, -0.59, 1.261, 18.005, -2.075, -25.574, 0.0, 0.0, 0.0
0.354, -0.494, 1.09, -13.428, -20.935, -39.856, 0.0, 0.0, 0.0
0.393, -0.333, 1.042, -11.475, 17.822, -30.273, 0.0, 0.0, 0.0
0.428, -0.426, 1.041, 35.583, 27.771, 1.587, 0.0, 0.0, 0.0
0.278, -0.384, 1.082, 44.861, 25.146, -4.7, 0.0, 0.0, 0.0
0.178, -0.474, 0.97, 58.228, -3.845, 17.273, 0.0, 0.0, 0.0
0.253, -0.52, 0.774, 67.078, -16.724, -9.583, 0.0, 0.0, 0.0
0.263, -0.323, 0.638, 34.424, -32.898, -53.162, 0.0, 0.0, 0.0
0.256, -0.271, 0.62, 13.794, -22.705, -27.161, 0.0, 0.0, 0.0
0.235, -0.252, 0.621, 26.978, 12.329, -13.245, 0.0, 0.0, 0.0
0.209, -0.186, 0.564, 43.03, 31.799, -16.602, 0.0, 0.0, 0.0
0.171, -0.153, 0.502, 58.289, 17.883, -7.324, 0.0, 0.0, 0.0
0.167, -0.215, 0.445, 67.749, 19.714, -18.738, 0.0, 0.0, 0.0
0.139, -0.125, 0.461, 46.875, 8.118, -31.494, 0.0, 0.0, 0.0
