### File1
### Start time : 2024/03/29 08:52:57
### ACC FSR:2G
### GYRO FSR:2000
### MAG DATA:MAG OFF
### Interrupt Threshold:1201
### Data Rate:50Hz
### Data Type:9X DATA
### Feature:LP_QUAT
### Gyro Cal:YES
### Gyro Data:CAL
### Acc Data:RAW
accX, accY, accZ, gyroX, gyroY, gyroZ, magX, magY, magZ
0.258, 0.146, 1.015, -9.521, -18.188, -18.616, 0.0, 0.0, 0.0
0.233, 0.103, 1.074, -23.376, 4.822, -16.418, 0.0, 0.0, 0.0
0.222, 0.096, 1.143, -8.057, 5.432, 0.854, 0.0, 0.0, 0.0
0.235, 0.09, 1.168, -33.325, -15.747, -20.325, 0.0, 0.0, 0.0
0.247, 0.102, 1.242, -10.437, -10.986, -12.207, 0.0, 0.0, 0.0
0.235, 0.119, 1.22, 2.319, -34.241, -37.72, 0.0, 0.0, 0.0
0.256, 0.151, 1.251, -21.179, -9.094, -35.828, 0.0, 0.0, 0.0
0.294, 0.22, 1.279, -31.799, -19.714, -19.958, 0.0, 0.0, 0.0
0.289, 0.25, 1.426, -35.156, -19.165, -0.854, 0.0, 0.0, 0.0
0.327, 0.169, 1.457, -32.288, -20.63, 9.888, 0.0, 0.0, 0.0
0.37, 0.194, 1.503, -22.461, 4.761, 7.874, 0.0, 0.0, 0.0
0.379, 0.209, 1.434, 4.028, 17.395, -5.981, 0.0, 0.0, 0.0
0.356, 0.263, 1.355, -7.568, 11.658, -18.799, 0.0, 0.0, 0.0
0.421, 0.276, 1.367, 3.54, 38.269, -18.127, 0.0, 0.0, 0.0
0.555, 0.349, 1.225, 9.521, 19.47, -8.423, 0.0, 0.0, 0.0
0.471, 0.209, 1.138, 25.513, 2.747, 4.211, 0.0, 0.0, 0.0
0.447, 0.132, 1.076, 25.085, -35.706, 2.014, 0.0, 0.0, 0.0
0.432, 0.211, 0.956, 47.302, -63.232, -24.841, 0.0, 0.0, 0.0
0.463, 0.231, 0.823, 13.245, -54.199, -37.354, 0.0, 0.0, 0.0
0.486, 0.135, 1.098, 7.141, -21.667, -21.179, 0.0, 0.0, 0.0
0.423, 0.137, 0.941, 51.025, -33.081, 7.08, 0.0, 0.0, 0.0
0.389, 0.094, 0.88, 36.926, -7.629, 8.057, 0.0, 0.0, 0.0
0.441, 0.096, 0.85, -37.476, 32.043, 15.991, 0.0, 0.0, 0.0
0.412, 0.181, 0.675, -64.88, 19.287, -17.334, 0.0, 0.0, 0.0
0.347, 0.107, 0.592, -67.261, 21.851, 6.348, 0.0, 0.0, 0.0
0.246, 0.103, 0.551, -39.429, 37.659, 21.484, 0.0, 0.0, 0.0
0.237, 0.136, 0.54, -60.242, 63.416, 23.315, 0.0, 0.0, 0.0
0.124, 0.141, 0.605, -67.444, 93.994, -1.099, 0.0, 0.0, 0.0
0.068, 0.107, 0.608, -33.752, 115.54, -6.714, 0.0, 0.0, 0.0
0.023, 0.07, 0.601, -11.353, 118.347, -16.724, 0.0, 0.0, 0.0
0.019, 0.068, 0.598, -33.142, 143.127, 0.549, 0.0, 0.0, 0.0
-0.006, 0.056, 0.593, -29.846, 121.826, -20.935, 0.0, 0.0, 0.0
0.005, 0.035, 0.598, -36.743, 107.666, -35.583, 0.0, 0.0, 0.0
-0.009, 0.016, 0.63, 3.052, 113.281, -23.926, 0.0, 0.0, 0.0
-0.014, -0.02, 0.709, 18.433, 88.257, -34.363, 0.0, 0.0, 0.0
-0.068, -0.043, 0.763, 19.165, 73.547, -10.01, 0.0, 0.0, 0.0
-0.094, -0.016, 0.741, 0.61, 69.336, -15.747, 0.0, 0.0, 0.0
