### File1
### Start time : 2024/03/29 02:27:37
### ACC FSR:2G
### GYRO FSR:2000
### MAG DATA:MAG OFF
### Interrupt Threshold:1201
### Data Rate:50Hz
### Data Type:9X DATA
### Feature:6X_LP_QUAT
### Gyro Cal:YES
### Gyro Data:CAL
### Acc Data:RAW
accX, accY, accZ, gyroX, gyroY, gyroZ, magX, magY, magZ
0.437, -0.13, 0.826, -2.625, 21.667, -2.38, 0.0, 0.0, 0.0
0.458, -0.175, 0.788, 9.277, 22.278, -7.202, 0.0, 0.0, 0.0
0.415, -0.179, 0.707, 5.798, -5.615, 4.211, 0.0, 0.0, 0.0
0.404, -0.133, 0.703, -23.682, -16.052, 0.305, 0.0, 0.0, 0.0
0.4, -0.086, 0.738, -49.561, 0.732, -18.921, 0.0, 0.0, 0.0
0.411, -0.027, 0.746, -26.428, 7.385, -20.813, 0.0, 0.0, 0.0
0.393, -0.024, 0.745, -12.268, -2.93, 0.0, 0.0, 0.0, 0.0
0.373, -0.096, 0.714, 1.587, 18.555, 6.836, 0.0, 0.0, 0.0
0.381, -0.135, 0.724, 4.578, 23.376, -4.639, 0.0, 0.0, 0.0
0.364, -0.14, 0.76, -21.851, 23.315, -1.221, 0.0, 0.0, 0.0
0.352, -0.124, 0.844, -14.343, 18.372, 16.174, 0.0, 0.0, 0.0
0.349, -0.104, 0.818, -9.033, -2.258, 16.663, 0.0, 0.0, 0.0
0.333, -0.123, 0.746, 4.578, 18.25, -0.427, 0.0, 0.0, 0.0
0.335, -0.173, 0.743, -0.671, 13.611, -0.854, 0.0, 0.0, 0.0
0.32, -0.18, 0.773, -0.854, 33.264, 17.273, 0.0, 0.0, 0.0
0.318, -0.154, 0.794, -6.836, 32.593, 16.724, 0.0, 0.0, 0.0
0.311, -0.19, 0.8, -2.075, 35.889, -0.854, 0.0, 0.0, 0.0
0.31, -0.165, 0.845, 18.86, 28.198, -6.958, 0.0, 0.0, 0.0
0.281, -0.134, 0.831, -4.578, 25.391, 4.089, 0.0, 0.0, 0.0
0.228, -0.127, 0.808, 0.122, 38.147, 2.319, 0.0, 0.0, 0.0
0.223, -0.113, 0.876, -12.024, 36.56, -7.202, 0.0, 0.0, 0.0
0.224, -0.141, 0.953, -14.771, 35.645, 15.625, 0.0, 0.0, 0.0
0.231, -0.156, 0.949, -18.25, 34.485, 16.174, 0.0, 0.0, 0.0
0.222, -0.177, 0.852, -5.493, 32.532, -3.418, 0.0, 0.0, 0.0
0.149, -0.205, 0.787, -4.272, 35.583, -7.629, 0.0, 0.0, 0.0
0.147, -0.204, 0.841, 3.479, 29.297, 3.479, 0.0, 0.0, 0.0
0.173, -0.136, 0.981, -18.311, 47.363, 2.441, 0.0, 0.0, 0.0
0.162, -0.11, 0.987, -17.09, 37.109, 5.737, 0.0, 0.0, 0.0
0.126, -0.109, 0.885, -5.127, 36.56, 4.7, 0.0, 0.0, 0.0
0.115, -0.157, 0.921, -2.136, 27.832, 5.31, 0.0, 0.0, 0.0
0.141, -0.152, 0.988, -5.432, 28.809, 6.409, 0.0, 0.0, 0.0
0.11, -0.092, 1.001, -5.981, 27.161, 4.883, 0.0, 0.0, 0.0
0.063, -0.091, 1.013, 3.967, 37.598, -5.432, 0.0, 0.0, 0.0
0.08, -0.147, 1.031, 0.916, 33.936, -3.113, 0.0, 0.0, 0.0
0.024, -0.146, 0.999, 6.348, 35.278, 7.568, 0.0, 0.0, 0.0
-0.016, -0.146, 1.009, -21.423, 13.733, 5.005, 0.0, 0.0, 0.0
0.033, -0.154, 1.1, -13.306, 12.695, -16.968, 0.0, 0.0, 0.0
-0.003, -0.127, 1.122, 2.93, 35.034, -8.362, 0.0, 0.0, 0.0
-0.051, -0.085, 1.044, -5.798, 32.593, -7.996, 0.0, 0.0, 0.0
-0.04, -0.074, 1.086, 5.859, 33.386, -15.991, 0.0, 0.0, 0.0
-0.012, -0.141, 1.161, -1.892, 24.658, 3.601, 0.0, 0.0, 0.0
0.008, -0.147, 1.14, 12.878, 29.114, -16.968, 0.0, 0.0, 0.0
-0.021, -0.089, 1.121, 7.935, 35.034, -18.25, 0.0, 0.0, 0.0
-0.082, -0.114, 1.129, 5.493, 21.057, 5.859, 0.0, 0.0, 0.0
-0.063, -0.104, 1.165, -16.479, 17.761, 6.226, 0.0, 0.0, 0.0
-0.022, -0.129, 1.184, 2.075, -2.441, 4.395, 0.0, 0.0, 0.0
-0.013, -0.104, 1.125, -5.31, 7.324, 0.732, 0.0, 0.0, 0.0
-0.098, -0.055, 1.049, 18.738, -6.042, -21.179, 0.0, 0.0, 0.0
